주요재무정보,최근 연간 실적,최근 연간 실적.1,최근 연간 실적.2,최근 연간 실적.3,최근 분기 실적,최근 분기 실적.1,최근 분기 실적.2,최근 분기 실적.3,최근 분기 실적.4,최근 분기 실적.5
주요재무정보,2022.12,2023.12,2024.12,2025.12(E),2024.06,2024.09,2024.12,2025.03,2025.06,2025.09(E)
주요재무정보,IFRS별도,IFRS별도,IFRS별도,IFRS별도,IFRS별도,IFRS별도,IFRS별도,IFRS별도,IFRS별도,IFRS별도
매출액,1526,862,741,,204,163,152,146,183,
영업이익,19,-229,-233,,-48,-68,-63,-48,-36,
당기순이익,-16,-333,-300,,-85,-77,-75,-27,-55,
영업이익률,1.26,-26.52,-31.39,,-23.34,-41.82,-41.55,-32.65,-19.46,
순이익률,-1.03,-38.63,-40.46,,-41.48,-46.99,-49.46,-18.70,-30.12,
ROE(지배주주),-2.21,-54.20,-53.14,,-51.25,-55.75,-53.14,-50.84,-34.21,
부채비율,134.45,219.98,116.31,,106.97,112.43,116.31,126.76,142.11,
당좌비율,23.55,23.07,21.20,,49.77,35.47,21.20,30.76,24.01,
유보율,167.66,72.28,20.95,,45.94,33.90,20.95,16.25,6.78,
EPS(원),-24,-439,-314,,-93,-66,-65,-24,-47,
PER(배),-39.55,-2.88,-1.96,,-3.57,-3.18,-1.96,-2.13,-2.46,
BPS(원),1004,616,568,,691,632,568,546,499,
PBR(배),0.94,2.05,1.08,,2.40,2.22,1.08,1.00,1.00,
주당배당금(원),-,,,,,-,,,,
시가배당률(%),-,,,,,-,,,,
배당성향(%),-,-,,,,,,,,
