주요재무정보,최근 연간 실적,최근 연간 실적.1,최근 연간 실적.2,최근 연간 실적.3,최근 분기 실적,최근 분기 실적.1,최근 분기 실적.2,최근 분기 실적.3,최근 분기 실적.4,최근 분기 실적.5
주요재무정보,2022.12,2023.12,2024.12,2025.12(E),2024.06,2024.09,2024.12,2025.03,2025.06,2025.09(E)
주요재무정보,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결
매출액,31833,34545,35391,36637,8592,9041,8922,9208,9020,9419
영업이익,1857,2549,2220,1921,616,636,236,575,451,604
당기순이익,2785,1617,1376,1180,423,469,-1,332,341,
영업이익률,5.83,7.38,6.27,5.24,7.17,7.03,2.65,6.24,5.00,6.41
순이익률,8.75,4.68,3.89,3.22,4.92,5.18,-0.01,3.61,3.78,
ROE(지배주주),16.53,8.55,6.86,5.79,8.64,7.91,6.86,6.12,5.61,
부채비율,83.30,69.44,64.90,,68.43,65.40,64.90,69.76,64.95,
당좌비율,67.80,70.21,63.16,,66.03,100.10,63.16,60.86,63.31,
유보율,10616.72,11197.30,11685.47,,11478.76,11677.45,11685.47,11618.92,11781.33,
EPS(원),73135,40005,34108,30440,10018,10952,1209,8358,7868,
PER(배),6.51,10.00,11.60,14.09,10.40,10.92,11.60,13.54,13.88,
BPS(원),528433,562474,597176,627158,581168,591350,597176,593313,598408,
PBR(배),0.90,0.71,0.66,0.68,0.75,0.72,0.66,0.70,0.66,
주당배당금(원),9000,9000,9000,9000,,,9000,,,
시가배당률(%),1.89,2.25,2.28,,,,2.28,,,
배당성향(%),11.27,19.31,22.64,,,,639.05,,,
