주요재무정보,최근 연간 실적,최근 연간 실적.1,최근 연간 실적.2,최근 연간 실적.3,최근 분기 실적,최근 분기 실적.1,최근 분기 실적.2,최근 분기 실적.3,최근 분기 실적.4,최근 분기 실적.5
주요재무정보,2022.12,2023.12,2024.12,2025.12(E),2024.06,2024.09,2024.12,2025.03,2025.06,2025.09(E)
주요재무정보,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결
매출액,5214,6154,7662,9364,1855,1862,2182,2119,2383,2417
영업이익,-455,-566,-575,288,-73,-75,-330,44,93,95
당기순이익,268,-229,-215,617,6,-275,52,144,141,169
영업이익률,-8.72,-9.20,-7.50,3.08,-3.92,-4.02,-15.14,2.08,3.91,3.92
순이익률,5.15,-3.72,-2.81,6.59,0.34,-14.78,2.38,6.78,5.93,6.99
ROE(지배주주),3.08,0.14,-0.73,2.97,0.16,-1.05,-0.73,-0.22,0.25,
부채비율,74.58,105.01,131.04,,113.29,119.50,131.04,133.71,152.31,
당좌비율,258.61,230.77,224.11,,215.46,215.27,224.11,120.91,218.24,
유보율,2485.67,2449.67,2426.92,,2458.98,2421.10,2426.92,2446.48,2437.60,
EPS(원),407,19,-102,416,29,-188,29,99,94,107
PER(배),133.03,2624.66,-257.41,130.22,1195.47,-166.97,-257.41,-917.74,2220.37,504.93
BPS(원),13583,13981,13824,14181,14014,13814,13824,13924,13909,
PBR(배),3.99,3.53,1.90,3.82,1.92,1.77,1.90,2.05,5.51,
주당배당금(원),,,,-,,,,,,
시가배당률(%),,,,,,,,,,
배당성향(%),-,-,-,,,,,,,
