주요재무정보,최근 연간 실적,최근 연간 실적.1,최근 연간 실적.2,최근 연간 실적.3,최근 분기 실적,최근 분기 실적.1,최근 분기 실적.2,최근 분기 실적.3,최근 분기 실적.4,최근 분기 실적.5
주요재무정보,2022.12,2023.12,2024.12,2025.12(E),2024.06,2024.09,2024.12,2025.03,2025.06,2025.09(E)
주요재무정보,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결
매출액,1320794,1287985,1246904,1229361,311971,306373,302305,312299,301420,304098
영업이익,81613,47540,23553,26381,7562,5131,-4083,3998,1996,8186
당기순이익,39662,-4064,5288,32664,4541,11479,-17984,35907,9768,
영업이익률,6.18,3.69,1.89,2.15,2.42,1.68,-1.35,1.28,0.66,2.69
순이익률,3.00,-0.32,0.42,2.66,1.46,3.75,-5.95,11.50,3.24,
ROE(지배주주),5.13,-3.67,-5.64,6.95,-1.90,-1.07,-5.64,3.73,5.28,
부채비율,170.87,165.76,167.76,,158.78,156.19,167.76,172.76,164.72,
당좌비율,76.85,73.73,70.65,,71.34,72.35,70.65,75.87,72.43,
유보율,144518.42,140327.52,155360.50,,139709.52,141580.59,155360.50,167616.58,170344.94,
EPS(원),14705,-10496,-17618,24764,2459,7001,-29323,32149,7494,7034
PER(배),12.85,-16.96,-7.46,8.98,-27.81,-48.00,-7.46,10.55,11.81,31.63
BPS(원),387442,373965,455927,488934,396223,387350,455927,490263,474615,
PBR(배),0.49,0.48,0.29,0.46,0.40,0.40,0.29,0.26,0.43,
주당배당금(원),5000,5000,7000,7167,1500,,5500,,1500,
시가배당률(%),2.65,2.81,5.32,,0.95,,4.18,,0.73,
배당성향(%),25.50,-35.65,-29.83,,45.66,,-14.14,,15.09,
