주요재무정보,최근 연간 실적,최근 연간 실적.1,최근 연간 실적.2,최근 연간 실적.3,최근 분기 실적,최근 분기 실적.1,최근 분기 실적.2,최근 분기 실적.3,최근 분기 실적.4,최근 분기 실적.5
주요재무정보,2022.12,2023.12,2024.12,2025.12(E),2024.06,2024.09,2024.12,2025.03,2025.06,2025.09(E)
주요재무정보,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결
매출액,275092,286238,324300,,53481,54646,102205,72191,93626,
영업이익,36470,34323,35941,36454,8276,11261,6107,10240,9274,9840
당기순이익,26747,26752,26543,27745,6097,8036,4566,8142,6944,7235
영업이익률,13.26,11.99,11.08,,15.47,20.61,5.97,14.19,9.91,
순이익률,9.72,9.35,8.19,,11.40,14.70,4.47,11.28,7.42,
ROE(지배주주),9.45,8.79,8.06,7.99,8.53,8.53,8.06,8.12,8.19,
부채비율,1373.84,1309.41,1279.51,,1316.34,1259.04,1279.51,1309.15,1292.04,
당좌비율,,,,,,,,,,
유보율,594.69,655.50,712.83,,674.41,700.88,712.83,714.56,734.95,
EPS(원),3345,3348,3316,3469,763,1005,570,1014,870,913
PER(배),2.94,3.54,4.32,5.69,4.18,4.05,4.32,4.24,5.28,21.63
BPS(원),36485,39698,42570,44322,40692,41958,42570,42664,43741,
PBR(배),0.27,0.30,0.34,0.45,0.34,0.33,0.34,0.33,0.42,
주당배당금(원),960,984,1065,1137,,,1065,,,
시가배당률(%),9.78,8.30,7.43,,,,7.43,,,
배당성향(%),28.70,29.39,32.11,,,,186.99,,,
