주요재무정보,최근 연간 실적,최근 연간 실적.1,최근 연간 실적.2,최근 연간 실적.3,최근 분기 실적,최근 분기 실적.1,최근 분기 실적.2,최근 분기 실적.3,최근 분기 실적.4,최근 분기 실적.5
주요재무정보,2022.12,2023.12,2024.12,2025.12(E),2024.06,2024.09,2024.12,2025.03,2025.06,2025.09(E)
주요재무정보,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결
매출액,3022314,2589355,3008709,3189918,740683,790987,757883,791405,745663,838252
영업이익,433766,65670,327260,311789,104439,91834,64927,66853,46761,98997
당기순이익,556541,154871,344514,317285,98413,101009,77544,82229,51164,90095
영업이익률,14.35,2.54,10.88,9.77,14.10,11.61,8.57,8.45,6.27,11.81
순이익률,18.41,5.98,11.45,9.95,13.29,12.77,10.23,10.39,6.86,10.75
ROE(지배주주),17.07,4.15,9.03,7.73,7.69,8.79,9.03,9.24,7.95,
부채비율,26.41,25.36,27.93,,26.66,27.19,27.93,26.99,26.36,
당좌비율,211.68,189.46,187.80,,192.36,190.56,187.80,187.68,190.87,
유보율,38144.29,39114.28,41772.84,,40382.62,41198.62,41772.84,42056.84,42340.19,
EPS(원),8057,2131,4950,4597,1420,1440,1115,1186,733,1347
PER(배),6.86,36.84,10.75,19.36,19.92,13.03,10.75,11.20,13.36,66.07
BPS(원),50817,52002,57981,61943,55011,55376,57981,59059,58135,
PBR(배),1.09,1.51,0.92,1.44,1.48,1.11,0.92,0.98,1.03,
주당배당금(원),1444,1444,1446,1525,361,361,363,365,367,
시가배당률(%),2.61,1.84,2.72,,0.44,0.59,0.68,0.63,0.61,
배당성향(%),17.92,67.78,29.18,,25.43,25.07,32.40,30.48,49.73,
