주요재무정보,최근 연간 실적,최근 연간 실적.1,최근 연간 실적.2,최근 연간 실적.3,최근 분기 실적,최근 분기 실적.1,최근 분기 실적.2,최근 분기 실적.3,최근 분기 실적.4,최근 분기 실적.5
주요재무정보,2022.12,2023.12,2024.12,2025.12(E),2024.06,2024.09,2024.12,2025.03,2025.06,2025.09(E)
주요재무정보,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결
매출액,222585,227824,245852,,60147,47222,73206,64550,77901,
영업이익,12570,10570,10970,8910,3796,1282,1883,3714,2407,
당기순이익,11705,8260,8660,6930,2990,597,1390,2957,1658,
영업이익률,5.65,4.64,4.46,,6.31,2.71,2.57,5.75,3.09,
순이익률,5.26,3.63,3.52,,4.97,1.26,1.90,4.58,2.13,
ROE(지배주주),8.17,5.43,6.98,,4.72,4.56,5.94,5.67,4.39,
부채비율,642.89,855.74,1021.63,,994.44,1024.70,1021.63,1080.19,986.45,
당좌비율,,,,,,,,,,
유보율,374.80,277.63,250.06,,235.69,235.43,250.06,243.47,279.34,
EPS(원),1186,873,849,,308,27,183,260,144,
PER(배),2.34,3.24,2.90,,4.41,4.25,2.90,3.27,5.37,
BPS(원),23120,17352,15697,,15149,15132,15697,15366,17169,
PBR(배),0.12,0.16,0.16,,0.20,0.19,0.16,0.17,0.19,
주당배당금(원),,150,,-,-,-,,,,
시가배당률(%),,5.30,,,-,-,,,,
배당성향(%),-,14.86,,,,,,,,
