주요재무정보,최근 연간 실적,최근 연간 실적.1,최근 연간 실적.2,최근 연간 실적.3,최근 분기 실적,최근 분기 실적.1,최근 분기 실적.2,최근 분기 실적.3,최근 분기 실적.4,최근 분기 실적.5
주요재무정보,2022.12,2023.12,2024.12,2025.12(E),2024.06,2024.09,2024.12,2025.03,2025.06,2025.09(E)
주요재무정보,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결
매출액,153516,159151,173245,,42861,38200,48763,42805,50016,
영업이익,17920,7435,12441,,4652,2956,-750,2837,3975,
당기순이익,12950,5744,8505,8660,3477,2123,-827,2039,3006,
영업이익률,11.67,4.67,7.18,,10.85,7.74,-1.54,6.63,7.95,
순이익률,8.43,3.61,4.91,,8.11,5.56,-1.70,4.76,6.01,
ROE(지배주주),17.84,7.38,15.75,,14.63,14.09,15.75,14.06,12.80,
부채비율,386.45,628.08,922.98,,751.27,780.54,922.98,1143.36,994.51,
당좌비율,,,,,,,,,,
유보율,21322.31,13598.08,10663.01,,11976.55,11928.03,10663.01,9066.81,10298.18,
EPS(원),14485,6426,9514,9687,3890,2375,-926,2281,3363,
PER(배),2.03,4.82,2.60,3.07,3.45,3.49,2.60,2.87,3.73,
BPS(원),121254,77222,60491,,67979,67702,60491,51392,58411,
PBR(배),0.24,0.40,0.41,,0.51,0.49,0.41,0.43,0.45,
주당배당금(원),1965,2063,,-,-,-,,,,
시가배당률(%),6.67,6.65,,,-,-,,,,
배당성향(%),11.90,28.16,,,,,,,,
