주요재무정보,최근 연간 실적,최근 연간 실적.1,최근 연간 실적.2,최근 연간 실적.3,최근 분기 실적,최근 분기 실적.1,최근 분기 실적.2,최근 분기 실적.3,최근 분기 실적.4,최근 분기 실적.5
주요재무정보,2022.12,2023.12,2024.12,2025.12(E),2024.06,2024.09,2024.12,2025.03,2025.06,2025.09(E)
주요재무정보,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결
매출액,285825,259785,252975,249242,62037,63975,64074,62388,59380,65853
영업이익,51202,37218,30602,27398,7981,6277,6181,8002,4846,6620
당기순이익,24827,15787,8635,8348,2754,387,734,2915,885,2430
영업이익률,17.91,14.33,12.10,10.99,12.86,9.81,9.65,12.83,8.16,10.05
순이익률,8.69,6.08,3.41,3.35,4.44,0.60,1.15,4.67,1.49,3.69
ROE(지배주주),18.86,10.05,4.12,4.12,9.72,4.90,4.12,2.98,1.78,
부채비율,105.74,95.45,89.84,,92.51,89.42,89.84,93.27,89.84,
당좌비율,78.19,76.96,77.97,,75.85,73.90,77.97,79.04,76.79,
유보율,3129.11,3345.99,3413.43,,3413.47,3416.72,3413.43,3406.75,3425.37,
EPS(원),22629,13734,5988,6163,2127,-75,138,2161,401,
PER(배),1.94,2.98,6.56,7.55,3.42,6.02,6.56,8.46,17.77,
BPS(원),131382,142065,148685,150870,147448,146401,148685,147838,148058,
PBR(배),0.33,0.29,0.26,0.31,0.32,0.29,0.26,0.25,0.32,
주당배당금(원),2500,2500,2700,2525,,,2700,,,
시가배당률(%),5.71,6.11,6.87,,,,6.87,,,
배당성향(%),11.05,18.20,45.10,,,,1963.84,,,
