주요재무정보,최근 연간 실적,최근 연간 실적.1,최근 연간 실적.2,최근 연간 실적.3,최근 분기 실적,최근 분기 실적.1,최근 분기 실적.2,최근 분기 실적.3,최근 분기 실적.4,최근 분기 실적.5
주요재무정보,2022.12,2023.12,2024.12,2025.12(E),2024.09,2024.12,2025.03,2025.06,2025.09,2025.12(E)
주요재무정보,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결
매출액,1421515,1626636,1752312,1881245,429283,466237,444078,482867,467214,486527
영업이익,98249,151269,142396,126171,35809,28222,36336,36016,25373,28291
당기순이익,79836,122723,132299,117490,32058,24742,33822,32504,25482,26820
영업이익률,6.91,9.30,8.13,6.71,8.34,6.05,8.18,7.46,5.43,5.82
순이익률,5.62,7.54,7.55,6.25,7.47,5.31,7.62,6.73,5.45,5.51
ROE(지배주주),9.36,13.68,12.43,9.73,12.91,12.43,12.13,10.95,9.96,
부채비율,181.36,177.44,182.52,,174.48,182.52,182.67,179.50,182.76,
당좌비율,51.97,52.19,52.43,,52.86,52.43,50.92,48.28,46.32,
유보율,5654.49,6248.81,7001.51,,6705.27,7001.51,7085.35,7182.30,7295.77,
EPS(원),26592,43589,46042,40978,11221,8401,11632,11216,8521,9488
PER(배),5.68,4.67,4.60,7.69,5.34,4.60,4.30,4.79,5.40,33.20
BPS(원),315142,351861,413568,441975,382225,413568,423512,423665,435878,441975
PBR(배),0.48,0.58,0.51,0.71,0.64,0.51,0.47,0.48,0.49,0.71
주당배당금(원),7000,11400,12000,12118,2000,6000,2500,2500,2500,
시가배당률(%),4.64,5.60,5.66,,0.82,2.83,1.27,1.23,1.16,
배당성향(%),24.85,25.07,25.13,,17.40,68.69,20.61,21.70,29.04,
